"","station.name","total"
"533","Center Blvd & 48 Ave",1740
"534","7 St & 5 Ave",1740
"535","Concord St & Bridge St",1734
"536","Franklin Ave & St Marks Ave",1733
"537","Duffield St & Willoughby St",1730
"538","Bayard St & Leonard St",1728
"539","Grand Ave & Bergen St",1727
"540","Graham Ave & Withers St",1720
"541","34 Ave & 38 St",1716
"542","28 St & 41 Ave",1709
"543","Prospect Pl & Underhill Ave",1707
"544","India St & West St",1704
"545","Yankee Ferry Terminal",1678
"546","Lewis Ave & Madison St",1678
"547","W 107 St & Columbus Ave",1654
"548","Amsterdam Ave & W 119 St",1646
"549","Van Brunt St & Wolcott St",1636
"550","31 Ave & 34 St",1633
"551","Leonard St & Maujer St",1622
"552","Dean St & Franklin Ave",1588
"553","Bedford Ave & Bergen St",1573
"554","Verona Pl & Fulton St",1562
"555","Humboldt St & Varet St",1562
"556","Degraw St & Hoyt St",1552
"557","3 St & Hoyt St",1546
"558","28 Ave & 35 St",1540
"559","Carlton Ave & Park Ave",1523
"560","Franklin Ave & Myrtle Ave",1514
"561","Vernon Blvd & 30 Rd",1509
"562","Cambridge Pl & Gates Ave",1498
"563","Adam Clayton Powell Blvd & W 123 St",1498
"564","Halsey St & Tompkins Ave",1491
"565","Monroe St & Classon Ave",1490
"566","Broadway & Whipple St",1468
"567","Lenox Ave & W 115 St",1463
"568","Lefferts Pl & Franklin Ave",1446
"569","Fulton St & Utica Ave",1434
"570","6 St & 7 Ave",1433
"571","5 St & 6 Ave",1429
"572","Myrtle Ave & St Edwards St",1425
"573","Sterling Pl & Bedford Ave",1419
"574","Mt Morris Park W & W 120 St",1407
"575","Lenox Ave & W 117 St",1405
"576","Fulton St & Clermont Ave",1404
"577","Amsterdam Ave & W 125 St",1397
"578","Hancock St & Bedford Ave",1384
"579","Bedford Ave & S 9 St",1383
"580","Monroe St & Tompkins Ave",1382
"581","6 Ave & 12 St",1364
"582","E 81 St & Park Ave",1364
"583","Clermont Ave & Park Ave",1359
"584","Vernon Blvd & 47 Rd",1347
"585","Union Ave & Jackson St",1338
"586","W 120 St & Claremont Ave",1333
"587","3 Ave & E 95 St",1332
"588","Morningside Ave & W 123 St",1323
"589","2 Ave & E 99 St",1321
"590","Crescent St & 30 Ave",1320
"591","10 St & 5 Ave",1320
"592","Putnam Ave & Throop Ave",1315
"593","34 St & 35 Ave",1306
"594","Crescent St & Broadway",1304
"595","Kosciuszko St & Tompkins Ave",1300
"596","Myrtle Ave & Marcy Ave",1295
"597","E 106 St & Madison Ave",1281
"598","21 St & Queens Plaza North",1281
"599","Division Ave & Hooper St",1274
"600","Boerum St & Broadway",1268
"601","Picnic Point",1258
"602","Gansevoort St & Hudson St",1256
"603","Astoria Park S & Shore Blvd",1255
"604","Graham Ave & Herbert St",1254
"605","E 102 St & Park Ave",1252
"606","3 Ave & 14 St",1238
"607","Sands St & Navy St",1233
"608","Park Pl & Franklin Ave",1231
"609","Coffey St & Conover St",1218
"610","Eckford St & Engert Ave",1211
"611","7 St & 3 Ave",1206
"612","35 Ave & 37 St",1202
"613","31 St & Hoyt Ave N",1191
"614","Center Blvd & Borden Ave",1190
"615","Kingston Ave & Herkimer St",1190
"616","Broadway & W 122 St",1188
"617","Adam Clayton Powell Blvd & W 126 St",1181
"618","Lewis Ave & Kosciuszko St",1180
"619","E 106 St & Lexington Ave",1167
"620","31 Ave & Steinway St",1159
"621","4 Ave & 2 St",1156
"622","Greene Ave & Nostrand Ave",1155
"623","31 Ave & 30 St",1137
"624","Frederick Douglass Blvd & W 129 St",1129
"625","Vernon Blvd & 10 St",1111
"626","Greene Ave & Throop Ave",1107
"627","12 St & 4 Ave",1107
"628","Willoughby Ave & Walworth St",1104
"629","E 109 St & 3 Ave",1102
"630","Marcus Garvey Blvd & Macon St",1096
"631","Adam Clayton Powell Blvd & W 115 St",1092
"632","Newtown Ave & 23 St",1090
"633","Kosciuszko St & Nostrand Ave",1081
"634","McKibbin St & Manhattan Ave",1062
"635","Tompkins Ave & Hopkins St",1049
"636","Jackson Ave & 46 Rd",1049
"637","Adam Clayton Powell Blvd & W 118 St",1048
"638","31 Ave & Crescent St",1046
"639","19 St & 24 Ave",1046
"640","48 Ave & 5 St",1043
"641","Columbus Ave & W 103 St",1026
"642","24 St & 41 Ave",1023
"643","Ditmars Blvd & 19 St",1018
"644","27 St & Hunter St",1013
"645","43 St & Broadway",1012
"646","Frost St & Meeker St",1011
"647","Hoyt St & Warren St",1009
"648","Willoughby Ave & Tompkins Ave",1009
"649","10 Hudson Yards",1003
"650","Putnam Ave & Nostrand Ave",990
"651","E 118 St & 1 Ave",980
"652","Crescent St & Ditmars Blvd",980
"653","31 St & Thomson Ave",973
"654","36 Ave & 10 St",966
"655","Leonard St & Boerum St",950
"656","35 St & Broadway",947
"657","47 Ave & 31 St",938
"658","Van Dyke St & Van Brunt St",934
"659","E 128 St & Madison Ave",922
"660","Lexington Ave & E 111 St",916
"661","E 115 St & Lexington Ave",908
"662","21 St & 31 Dr",907
"663","E 97 St & 3 Ave",905
"664","Steinway St & 23 Ave",898
"665","Marcy Ave & Lafayette Ave",880
"666","Van Brunt St & Van Dyke St",877
"667","24 Ave & 26 St",873
"668","2 Ave & 9 St",873
"669","Commerce St & Van Brunt St",871
"670","E 118 St & 3 Ave",868
"671","Lincoln Pl & Classon Ave",862
"672","Lorimer St & Broadway",860
"673","5 St & 51 Ave",850
"674","28 St & 36 Ave",850
"675","E 106 St & 1 Ave",846
"676","Newton Rd & 44 St",844
"677","9 St & 44 Rd",843
"678","E 123 St & Lexington Ave",835
"679","49 Ave & 21 St",824
"680","31 St & 35 Ave",814
"681","37 Ave & 35 St",810
"682","Union Ave & Wallabout St",810
"683","Nostrand Ave & Myrtle Ave",809
"684","28 St & 38 Ave",808
"685","Rogers Ave & Sterling St",805
"686","Park Ave & Marcus Garvey Blvd",801
"687","E 115 St & Madison Ave",779
"688","37 St & 24 Ave",760
"689","Richards St & Delavan St",760
"690","W 129 St & Convent Ave",750
"691","Sigourney St & Columbia St",742
"692","Carroll St & Washington Ave",741
"693","Crescent St & 34 Ave",740
"694","21 St & 43 Ave",738
"695","3 Ave & E 112 St",731
"696","Broadway & 12 St",729
"697","Park Ave & St Edwards St",723
"698","Crescent St & 35 Ave",720
"699","Vernon Blvd & 41 Rd",711
"700","3 Ave & E 100 St",698
"701","Pioneer St & Richards St",698
"702","Pleasant Ave & E 120 St",697
"703","E 118 St & Madison Ave",696
"704","24 Ave & 29 St",692
"705","Throop Ave & Myrtle Ave",688
"706","Morningside Dr & Amsterdam Ave",682
"707","Pulaski St & Marcus Garvey Blvd",682
"708","E 116 St & 2 Ave",676
"709","5 Ave & E 126 St",657
"710","31 Ave & 14 St",656
"711","Lewis Ave & Decatur St",655
"712","2 Ave & E 122 St",646
"713","35 St & 34 Ave",627
"714","34 Ave & 21 St",621
"715","Pacific St & Classon Ave",610
"716","E 98 St & Park Ave",600
"717","39 St & 2 Ave - Citi Bike HQ at Industry City",595
"718","Jackson St & Leonard St",591
"719","31 St & Northern Blvd",590
"720","32 St & 30 Ave",585
"721","Division Ave & Marcy Ave",582
"722","E 114 St & 1 Ave",581
"723","Union St & Bedford Ave",579
"724","Dwight St & Van Dyke St",576
"725","Madison Ave & E 120 St",575
"726","21 St & Hoyt Ave S",564
"727","Wolcott St & Dwight St",561
"728","30 Ave & 21 St",559
"729","Lexington Ave & E 120 St",537
"730","Sterling St & Bedford Ave",512
"731","23 Ave & 27 St",507
"732","Lexington Ave & E 127 St",482
"733","48 Ave & 30 Pl",475
"734","Crown St & Bedford Ave",474
"735","27 Ave & 9 St",468
"736","28 St & 40 Ave",460
"737","W 20 St & 11 Ave",459
"738","35 Ave & 10 St",443
"739","Clinton St & Centre St",430
"740","Albany Ave & Fulton St",413
"741","Steinway St & 28 Ave",395
