"","station.name","total"
"677","Amsterdam Ave & W 119 St",1248
"678","E 128 St & Madison Ave",1239
"679","5 Ave & E 126 St",1238
"680","E 97 St & 3 Ave",1231
"681","Pulaski St & Marcus Garvey Blvd",1225
"682","Tompkins Ave & Hopkins St",1225
"683","49 Ave & 21 St",1224
"684","31 Ave & 30 St",1219
"685","Steinway St & 23 Ave",1213
"686","35 St & Broadway",1208
"687","28 St & 38 Ave",1190
"688","Park Ave & Marcus Garvey Blvd",1190
"689","W 16 St & 8 Ave",1186
"690","Vernon Blvd & 41 Rd",1177
"691","Broadway & W 122 St",1167
"692","24 Ave & 29 St",1161
"693","31 Ave & Crescent St",1152
"694","Nostrand Ave & Myrtle Ave",1148
"695","W 129 St & Convent Ave",1145
"696","Lincoln Pl & Classon Ave",1143
"697","36 Ave & 10 St",1142
"698","21 St & Hoyt Ave S",1139
"699","31 St & Thomson Ave",1134
"700","E 81 St & Park Ave",1133
"701","24 Ave & 26 St",1107
"702","Powers St & Olive St",1096
"703","Irving Ave & Jefferson St",1091
"704","Knickerbocker Ave & Thames St",1080
"705","47 Ave & 31 St",1074
"706","31 St & Northern Blvd",1073
"707","Crescent St & 30 Ave",1070
"708","Lexington Ave & E 127 St",1068
"709","Madison Ave & E 120 St",1067
"710","Park Ave & St Edwards St",1054
"711","Crescent St & 34 Ave",1051
"712","Lexington Ave & E 120 St",1045
"713","48 Ave & 5 St",1044
"714","Union St & Bedford Ave",1034
"715","Dock 72 Way & Market St",1030
"716","34 St & 35 Ave",1018
"717","Crescent St & Ditmars Blvd",1005
"718","12 St & 4 Ave",1003
"719","Division Ave & Marcy Ave",995
"720","35 St & 34 Ave",993
"721","35 Ave & 10 St",977
"722","Jackson St & Leonard St",976
"723","Broadway & 12 St",976
"724","3 Ave & E 100 St",969
"725","Carroll St & Washington Ave",964
"726","Irving Ave & DeKalb Ave",951
"727","Wyckoff St & Bond St",949
"728","Hart St & Wyckoff Ave",944
"729","27 Ave & 9 St",942
"730","5 St & 51 Ave",933
"731","Commerce St & Van Brunt St",933
"732","Knickerbocker Ave & George St",926
"733","Devoe St & Morgan Ave",924
"734","Stockholm St & Wilson Ave",924
